Seconds	Entries
1	0
2	51
3	49
4	55
5	49
6	50
7	48
8	47
9	44
10	51
11	50
12	38
13	53
14	48
15	47
16	47
17	52
18	47
19	49
20	45
21	45
22	48
23	48
24	55
25	47
26	41
27	49
28	51
29	55
30	43
31	46
32	42
33	50
34	40
35	53
36	46
37	47
38	48
39	41
40	47
41	52
42	47
43	48
44	46
45	49
46	45
47	51
48	48
49	41
50	43
51	58
52	47
53	44
54	54
55	46
56	50
57	43
58	50
59	46
60	38
61	46
62	49
63	49
64	49
65	45
66	50
67	46
68	43
69	49
70	45
71	60
72	52
73	48
74	46
75	50
76	51
77	50
78	50
79	54
80	55
81	48
82	48
83	46
84	49
85	47
86	56
87	53
88	53
89	55
90	47
91	49
92	46
93	45
94	46
95	46
96	50
97	44
98	54
99	52
100	50
101	55
102	154
103	145
104	146
105	150
106	147
107	148
108	153
109	147
110	148
111	148
112	149
113	147
114	155
115	141
116	155
117	145
118	148
119	143
120	148
121	157
122	149
123	155
124	142
125	154
126	150
127	146
128	147
129	155
130	152
131	150
132	143
133	151
134	148
135	152
136	144
137	148
138	145
139	142
140	154
141	156
142	151
143	151
144	150
145	154
146	144
147	142
148	145
149	143
150	153
151	150
152	150
153	149
154	142
155	155
156	149
157	147
158	155
159	157
160	143
161	147
162	147
163	147
164	143
165	146
166	145
167	144
168	147
169	150
170	142
171	149
172	148
173	150
174	146
175	145
176	150
177	149
178	152
179	151
180	155
181	148
182	146
183	149
184	152
185	144
186	148
187	150
188	146
189	150
190	149
191	152
192	151
193	153
194	149
195	146
196	149
197	151
198	150
199	152
200	140
201	151
202	50
203	48
204	48
205	48
206	44
207	47
208	47
209	50
210	59
211	49
212	47
213	53
214	52
215	46
216	49
217	51
218	50
219	52
220	51
221	39
222	51
223	54
224	44
225	52
226	44
227	53
228	52
229	52
230	49
231	45
232	49
233	54
234	48
235	52
236	55
237	58
238	45
239	53
240	46
241	49
242	51
243	53
244	46
245	53
246	49
247	47
248	50
249	55
250	43
251	45
252	51
253	53
254	47
255	47
256	54
257	52
258	51
259	45
260	47
261	44
262	51
263	52
264	44
265	53
266	49
267	50
268	55
269	52
270	51
271	48
272	51
273	50
274	50
275	52
276	50
277	45
278	57
279	52
280	53
281	52
282	49
283	46
284	49
285	56
286	57
287	41
288	51
289	48
290	44
291	50
292	54
293	52
294	44
295	48
296	49
297	50
298	46
299	47

