Seconds	Entries
1	50
2	50
3	54
4	50
5	49
6	48
7	48
8	43
9	51
10	50
11	39
12	53
13	47
14	47
15	47
16	51
17	48
18	49
19	44
20	46
21	49
22	47
23	56
24	45
25	43
26	48
27	52
28	53
29	44
30	46
31	43
32	49
33	40
34	53
35	46
36	48
37	47
38	40
39	49
40	51
41	48
42	47
43	46
44	50
45	44
46	50
47	49
48	41
49	43
50	59
51	47
52	42
53	53
54	49
55	50
56	43
57	50
58	45
59	39
60	45
61	49
62	49
63	48
64	47
65	49
66	46
67	43
68	49
69	46
70	59
71	52
72	46
73	49
74	49
75	50
76	51
77	50
78	55
79	54
80	48
81	48
82	46
83	49
84	47
85	55
86	54
87	53
88	53
89	49
90	48
91	47
92	46
93	45
94	47
95	48
96	46
97	54
98	52
99	49
100	54
101	152
102	47
103	44
104	51
105	47
106	49
107	53
108	45
109	49
110	48
111	49
112	47
113	56
114	40
115	55
116	45
117	48
118	43
119	49
120	56
121	49
122	55
123	43
124	54
125	50
126	46
127	46
128	54
129	53
130	51
131	42
132	47
133	51
134	53
135	44
136	47
137	46
138	43
139	53
140	55
141	53
142	48
143	51
144	54
145	45
146	42
147	45
148	42
149	53
150	51
151	51
152	48
153	43
154	54
155	50
156	46
157	55
158	58
159	43
160	46
161	48
162	46
163	43
164	46
165	46
166	43
167	47
168	49
169	44
170	48
171	48
172	50
173	46
174	43
175	52
176	49
177	51
178	51
179	56
180	48
181	46
182	47
183	54
184	45
185	46
186	51
187	45
188	52
189	47
190	53
191	51
192	53
193	49
194	47
195	47
196	52
197	50
198	53
199	40
200	49
201	51
202	46
203	50
204	48
205	44
206	48
207	46
208	51
209	57
210	50
211	47
212	54
213	50
214	47
215	49
216	51
217	50
218	53
219	51
220	38
221	49
222	56
223	44
224	52
225	45
226	53
227	51
228	52
229	50
230	44
231	49
232	53
233	50
234	51
235	54
236	59
237	45
238	53
239	46
240	50
241	50
242	53
243	46
244	54
245	48
246	47
247	51
248	53
249	43
250	47
251	49
252	53
253	49
254	46
255	54
256	51
257	52
258	44
259	48
260	44
261	51
262	52
263	43
264	54
265	48
266	51
267	55
268	51
269	50
270	49
271	52
272	50
273	50
274	53
275	50
276	45
277	57
278	51
279	53
280	53
281	48
282	45
283	50
284	56
285	55
286	44
287	50
288	49
289	43
290	50
291	54
292	52
293	45
294	47
295	49
296	51
297	45
298	48
299	51

