Seconds	Entries
1	50
2	50
3	54
4	50
5	49
6	48
7	48
8	43
9	51
10	50
11	39
12	53
13	47
14	47
15	47
16	51
17	48
18	49
19	44
20	46
21	49
22	47
23	56
24	45
25	43
26	48
27	52
28	53
29	44
30	46
31	43
32	49
33	40
34	53
35	46
36	48
37	47
38	40
39	49
40	51
41	48
42	47
43	46
44	50
45	44
46	50
47	49
48	41
49	43
50	59
51	47
52	42
53	53
54	49
55	50
56	43
57	50
58	45
59	39
60	45
61	49
62	49
63	48
64	47
65	49
66	46
67	43
68	49
69	46
70	59
71	52
72	46
73	49
74	49
75	50
76	51
77	50
78	55
79	54
80	48
81	48
82	46
83	49
84	47
85	55
86	54
87	53
88	53
89	49
90	48
91	47
92	46
93	45
94	47
95	48
96	46
97	54
98	52
99	49
100	54
101	152
102	147
103	144
104	151
105	147
106	149
107	153
108	145
109	149
110	148
111	149
112	147
113	156
114	140
115	155
116	145
117	148
118	143
119	149
120	156
121	149
122	155
123	143
124	154
125	150
126	146
127	146
128	154
129	153
130	151
131	142
132	147
133	151
134	153
135	144
136	147
137	146
138	143
139	153
140	155
141	153
142	148
143	151
144	154
145	145
146	142
147	145
148	142
149	153
150	151
151	151
152	148
153	143
154	154
155	150
156	146
157	155
158	158
159	143
160	146
161	148
162	146
163	143
164	146
165	146
166	143
167	147
168	149
169	144
170	148
171	148
172	150
173	146
174	143
175	152
176	149
177	151
178	151
179	156
180	148
181	146
182	147
183	154
184	145
185	146
186	151
187	145
188	152
189	147
190	153
191	151
192	153
193	149
194	147
195	147
196	152
197	150
198	153
199	140
200	149
201	53
202	46
203	50
204	48
205	44
206	48
207	46
208	51
209	57
210	50
211	47
212	54
213	50
214	47
215	49
216	51
217	50
218	53
219	51
220	38
221	49
222	56
223	44
224	52
225	45
226	53
227	51
228	52
229	50
230	44
231	49
232	53
233	50
234	51
235	54
236	59
237	45
238	53
239	46
240	50
241	50
242	53
243	46
244	54
245	48
246	47
247	51
248	53
249	43
250	47
251	49
252	53
253	49
254	46
255	54
256	51
257	52
258	44
259	48
260	44
261	51
262	52
263	43
264	54
265	48
266	51
267	55
268	51
269	50
270	49
271	52
272	50
273	50
274	53
275	50
276	45
277	57
278	51
279	53
280	53
281	48
282	45
283	50
284	56
285	55
286	44
287	50
288	49
289	43
290	50
291	54
292	52
293	45
294	47
295	49
296	51
297	45
298	48
299	51

