Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	producer-gw-root	0	dev=net(0)	InInterests	176.8	0	221	0
1	producer-gw-root	0	dev=net(0)	OutInterests	0	0	0	0
1	producer-gw-root	0	dev=net(0)	DropInterests	0	0	0	0
1	producer-gw-root	0	dev=net(0)	InNacks	0	0	0	0
1	producer-gw-root	0	dev=net(0)	OutNacks	0	0	0	0
1	producer-gw-root	0	dev=net(0)	DropNacks	0	0	0	0
1	producer-gw-root	0	dev=net(0)	InData	0	0	0	0
1	producer-gw-root	0	dev=net(0)	OutData	176.8	198.037	221	247.546
1	producer-gw-root	0	dev=net(0)	DropData	0	0	0	0
1	producer-gw-root	0	dev=net(0)	InSatisfiedInterests	176.8	0	221	0
1	producer-gw-root	0	dev=net(0)	InTimedOutInterests	0	0	0	0
1	producer-gw-root	0	dev=net(0)	OutSatisfiedInterests	0	0	0	0
1	producer-gw-root	0	dev=net(0)	OutTimedOutInterests	0	0	0	0
1	producer-gw-root	1	dev=local(1)	InInterests	0	0	0	0
1	producer-gw-root	1	dev=local(1)	OutInterests	176.8	0	221	0
1	producer-gw-root	1	dev=local(1)	DropInterests	0	0	0	0
1	producer-gw-root	1	dev=local(1)	InNacks	0	0	0	0
1	producer-gw-root	1	dev=local(1)	OutNacks	0	0	0	0
1	producer-gw-root	1	dev=local(1)	DropNacks	0	0	0	0
1	producer-gw-root	1	dev=local(1)	InData	176.8	0	221	0
1	producer-gw-root	1	dev=local(1)	OutData	0	0	0	0
1	producer-gw-root	1	dev=local(1)	DropData	0	0	0	0
1	producer-gw-root	1	dev=local(1)	InSatisfiedInterests	0	0	0	0
1	producer-gw-root	1	dev=local(1)	InTimedOutInterests	0	0	0	0
1	producer-gw-root	1	dev=local(1)	OutSatisfiedInterests	176.8	0	221	0
1	producer-gw-root	1	dev=local(1)	OutTimedOutInterests	0	0	0	0
1	producer-gw-root	-1	all	SatisfiedInterests	176.8	0	221	0
1	producer-gw-root	-1	all	TimedOutInterests	0	0	0	0
