Seconds	Entries
1	29
2	32
3	34
4	36
5	30
6	29
7	27
8	30
9	33
10	29
11	27
12	34
13	35
14	33
15	34
16	33
17	30
18	32
19	31
20	34
21	34
22	28
23	35
24	37
25	33
26	30
27	29
28	33
29	31
30	32
31	30
32	29
33	32
34	38
35	33
36	34
37	32
38	29
39	35
40	32
41	31
42	27
43	35
44	34
45	31
46	30
47	28
48	32
49	35
50	34
51	28
52	30
53	29
54	28
55	32
56	35
57	30
58	33
59	32
60	29
61	30
62	31
63	30
64	32
65	31
66	29
67	33
68	34
69	42
70	44
71	32
72	35
73	27
74	29
75	27
76	25
77	26
78	33
79	40
80	32
81	32
82	31
83	36
84	29
85	30
86	35
87	28
88	32
89	33
90	31
91	30
92	34
93	26
94	35
95	36
96	36
97	33
98	34
99	29
100	29
101	77
102	123
103	160
104	207
105	244
106	286
107	327
108	368
109	397
110	442
111	486
112	536
113	581
114	623
115	665
116	706
117	748
118	790
119	833
120	879
121	919
122	959
123	1007
124	1045
125	1086
126	1130
127	1169
128	1217
129	1259
130	1301
131	1343
132	1387
133	1432
134	1479
135	1517
136	1559
137	1602
138	1647
139	1693
140	1731
141	1774
142	1820
143	1865
144	1908
145	1943
146	1982
147	2028
148	2063
149	2114
150	2154
151	2200
152	2238
153	2288
154	2322
155	2372
156	2406
157	2451
158	2491
159	2544
160	2589
161	2628
162	2666
163	2710
164	2749
165	2751
166	2756
167	2756
168	2743
169	2744
170	2756
171	2762
172	2759
173	2767
174	2765
175	2768
176	2766
177	2762
178	2759
179	2763
180	2769
181	2764
182	2760
183	2764
184	2763
185	2763
186	2778
187	2777
188	2779
189	2783
190	2778
191	2775
192	2769
193	2764
194	2771
195	2780
196	2771
197	2772
198	2775
199	2773
200	2776
201	2767
202	2772
203	2775
204	2772
205	2771
206	2769
207	2775
208	2772
209	2778
210	2771
211	2769
212	2771
213	2772
214	2770
215	2771
216	2772
217	2773
218	2777
219	2773
220	2774
221	2773
222	2777
223	2776
224	2769
225	2772
226	2768
227	2770
228	2771
229	2772
230	2775
231	2772
232	2773
233	2775
234	2776
235	2770
236	2769
237	2770
238	2775
239	2776
240	2770
241	2768
242	2772
243	2774
244	2780
245	2769
246	2771
247	2772
248	2768
249	2766
250	2777
251	2772
252	2774
253	2776
254	2770
255	2775
256	2775
257	2774
258	2773
259	2769
260	2769
261	2774
262	2772
263	2776
264	2767
265	2773
266	2765
267	2766
268	2776
269	2777
270	2771
271	2773
272	2770
273	2772
274	2773
275	2769
276	2771
277	2769
278	2777
279	2773
280	2773
281	2777
282	2772
283	2778
284	2779
285	2777
286	2777
287	2777
288	2769
289	2772
290	2770
291	2770
292	2776
293	2779
294	2770
295	2772
296	2778
297	2774
298	2774
299	2780
