Seconds	Entries
1	31
2	33
3	36
4	29
5	33
6	30
7	30
8	31
9	32
10	34
11	28
12	32
13	36
14	37
15	41
16	30
17	35
18	28
19	34
20	39
21	35
22	38
23	32
24	30
25	33
26	31
27	30
28	30
29	34
30	31
31	34
32	32
33	27
34	35
35	30
36	35
37	32
38	34
39	33
40	36
41	38
42	36
43	34
44	35
45	34
46	33
47	31
48	34
49	32
50	32
51	29
52	33
53	27
54	31
55	36
56	29
57	31
58	32
59	37
60	35
61	35
62	30
63	34
64	31
65	32
66	32
67	35
68	35
69	42
70	37
71	29
72	31
73	32
74	33
75	29
76	32
77	38
78	35
79	32
80	29
81	31
82	33
83	29
84	31
85	32
86	33
87	31
88	36
89	25
90	34
91	29
92	28
93	34
94	32
95	34
96	40
97	35
98	27
99	31
100	30
101	124
102	222
103	318
104	415
105	516
106	623
107	715
108	813
109	917
110	1020
111	1115
112	1218
113	1312
114	1416
115	1521
116	1620
117	1718
118	1814
119	1917
120	2021
121	2113
122	2216
123	2316
124	2419
125	2517
126	2621
127	2714
128	2817
129	2918
130	3020
131	3116
132	3217
133	3317
134	3417
135	3517
136	3618
137	3714
138	3825
139	3916
140	4017
141	4116
142	4219
143	4313
144	4420
145	4519
146	4615
147	4720
148	4817
149	4920
150	5018
151	5112
152	5217
153	5312
154	5419
155	5522
156	5623
157	5715
158	5820
159	5919
160	6016
161	6122
162	6214
163	6320
164	6419
165	6425
166	6428
167	6428
168	6428
169	6427
170	6428
171	6430
172	6429
173	6430
174	6428
175	6433
176	6425
177	6428
178	6427
179	6427
180	6429
181	6431
182	6427
183	6431
184	6431
185	6427
186	6425
187	6432
188	6433
189	6439
190	6429
191	6430
192	6424
193	6432
194	6427
195	6428
196	6430
197	6429
198	6429
199	6428
200	6430
201	6431
202	6434
203	6435
204	6435
205	6437
206	6431
207	6437
208	6432
209	6433
210	6433
211	6433
212	6436
213	6434
214	6432
215	6437
216	6434
217	6433
218	6436
219	6433
220	6435
221	6447
222	6435
223	6437
224	6442
225	6433
226	6434
227	6440
228	6438
229	6438
230	6431
231	6436
232	6433
233	6437
234	6438
235	6434
236	6433
237	6437
238	6440
239	6439
240	6435
241	6435
242	6438
243	6436
244	6433
245	6435
246	6439
247	6430
248	6434
249	6435
250	6438
251	6438
252	6437
253	6437
254	6441
255	6438
256	6437
257	6429
258	6433
259	6435
260	6435
261	6436
262	6438
263	6436
264	6441
265	6436
266	6433
267	6440
268	6432
269	6430
270	6430
271	6436
272	6434
273	6438
274	6437
275	6435
276	6435
277	6437
278	6439
279	6437
280	6435
281	6434
282	6442
283	6438
284	6431
285	6432
286	6436
287	6432
288	6436
289	6436
290	6443
291	6442
292	6435
293	6440
294	6436
295	6439
296	6437
297	6434
298	6434
299	6439
300	6434

